"id","status_code","url"
7,401,https://pm-grudziadz.pl
8,401,https://pm-grudziadz.pl/sprawy/305/podatek-lesny-dla-osob-prawnych/
9,200,https://pm-grudziadz.pl/cdn-cgi/l/email-protection#4d3a3e3f0d3820632f34292a223e372e37633d21
10,401,https://pm-grudziadz.pl/mapa-strony/
11,401,https://pm-grudziadz.pl/wyszukiwanie/
12,401,https://pm-grudziadz.pl/sprawy/133/wypis-i-wyrys-z-miejscowego-planu-zagospodarowania-przestrzennego/
13,401,https://pm-grudziadz.pl/
14,401,https://pm-grudziadz.pl/sprawy/311/podatek-lesny-dla-osob-fizycznych/
15,200,https://pm-grudziadz.pl/cdn-cgi/l/email-protection#0b7c78794b7e662569726f6c6478716871257b67
16,401,https://pm-grudziadz.pl/tagi-wyszukiwanie/?tags=PODATKI
17,401,https://pm-grudziadz.pl/sprawy/66/zaswiadczenia-w-sprawach-podatkowych/
18,401,https://pm-grudziadz.pl/tagi-wyszukiwanie/?tags=ZASWIADCZENIA
19,401,https://pm-grudziadz.pl/sprawy/79/wydanie-zaswiadczenia-na-przewozy-drogowe-na-potrzeby-wlasne/
20,401,https://pm-grudziadz.pl/tagi-wyszukiwanie/?tags=SYSTEMY_KOMUNIKACJI_MIEJSKIEJ
21,401,https://pm-grudziadz.pl/sprawy/77/licencja-na-wykonywanie-krajowego-transportu-w-zakresie-przewozu-osob-taksowka/
22,200,https://pm-grudziadz.pl/cdn-cgi/l/email-protection#f79e999198b7879ada908582938d9e96938dd9879b
23,401,https://pm-grudziadz.pl/deklaracja-dostepnosci/
24,200,https://pm-grudziadz.pl/cdn-cgi/l/email-protection#8fe6e1e9e0cfffe2a2e8fdfaebf5e6eeebf5a1ffe3
25,401,https://pm-grudziadz.pl/deklaracja-dostepnosci/sekretariat@um.grudziadz.pl
26,401,https://pm-grudziadz.pl/tagi-wyszukiwanie/?tags=ZASADY_RUCHU_DROGOWEGO
27,401,https://pm-grudziadz.pl/sprawy/98/wymianawydanie-wtornika-krajowego-prawa-jazdy/
